ids,star_2010,star_2011,star_2012,star_2013,star_2014,star_2015,star_2016,star_2017,star_2018,star_2019,star_2020,star_2021,star_2022,star_2023
126,0,0,0,0,0,36,76,76,77,37,110,73,73,0
130,114,182,296,243,61,61,0,82,119,163,81,44,0,0
134,0,92,92,92,0,0,0,0,5,5,5,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32910,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,27,0,27,0,0,0,0,0,0,0,0,0,0,0
158,154,0,252,98,98,0,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,0,0,0,4,4,4,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0,0,0,0,0,0,8
171,10,0,10,0,100,100,100,0,186,191,191,39,34,34
174,675,744,2071,2041,1745,1733,1661,1795,2035,1661,1556,1138,1345,1168
178,0,0,0,0,0,0,0,3,3,3,0,50,50,50
65719,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0,0,55,55,55,0,13
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131268,0,0,0,0,0,0,0,0,0,0,50,50,50,0
65734,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0,0,0,5,5
65737,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98506,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98505,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,0,0,0,0,0,0,0,0,0,0,0,0,5,5
213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,0,26,26,26,0,51,51,51,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98529,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164070,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,83,83,83,0,0,0,0,0,0,89,89
243,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,9,9,9,0,77,125,125,48
65785,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65786,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65787,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65788,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
258,157,108,265,177,110,128,107,110,127,125,81,46,0,0
65795,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
264,0,0,0,36,130,309,273,179,17,17,17,0,0,145
265,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65803,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0,0,3,3,3,0
